HGNC ID	Entrez Gene ID
HGNC:10343	54026
HGNC:10344	11224
HGNC:10345	6165
HGNC:10346	6166
HGNC:10347	6167
HGNC:10348	6168
HGNC:10349	6169
HGNC:10350	6170
HGNC:10351	6123
HGNC:10352	8488
HGNC:10353	6124
HGNC:10354	6171
HGNC:10355	6172
HGNC:10356	22971
HGNC:10357	22970
HGNC:10358	22969
HGNC:10359	6173
HGNC:1036	55859
HGNC:10360	6125
HGNC:10361	647436
HGNC:10362	6128
HGNC:10363	6129
HGNC:10364	6130
HGNC:10367	6174
HGNC:10368	6132
HGNC:10369	6133
HGNC:1037	629
HGNC:10371	6175
HGNC:10372	6176
HGNC:10377	6181
HGNC:10378	6182
HGNC:10379	11222
HGNC:10380	6183
HGNC:10381	6184
HGNC:10382	6185
HGNC:10383	6204
HGNC:10384	6205
HGNC:10385	6206
HGNC:10386	6207
HGNC:10387	6208
HGNC:10388	6209
HGNC:10389	6210
HGNC:10396	6217
HGNC:10397	6218
HGNC:10398	6219
HGNC:10399	646013
HGNC:104	26505
HGNC:1040	631
HGNC:10401	6222
HGNC:10402	6223
HGNC:10404	6187
HGNC:10405	6224
HGNC:10406	6225
HGNC:10407	6226
HGNC:10408	54025
HGNC:10409	6227
HGNC:1041	8419
HGNC:10410	6228
HGNC:10411	6229
HGNC:10412	23756
HGNC:10413	6230
HGNC:10414	6231
HGNC:10415	54024
HGNC:10416	6232
HGNC:10417	6233
HGNC:10418	6234
HGNC:10419	6235
HGNC:10420	6188
HGNC:10421	6189
HGNC:10422	101241875
HGNC:10424	6191
HGNC:10425	6192
HGNC:10426	6193
HGNC:10427	54022
HGNC:10428	26516
HGNC:10429	6194
HGNC:1043	632
HGNC:10430	6195
HGNC:10431	6196
HGNC:10432	6197
HGNC:10433	8986
HGNC:10434	9252
HGNC:10435	27330
HGNC:10436	6198
HGNC:10437	6199
HGNC:10438	6200
HGNC:10439	26750
HGNC:1044	633
HGNC:10440	6201
HGNC:10441	6202
HGNC:10442	6203
HGNC:10443	8410
HGNC:10445	9125
HGNC:10446	6236
HGNC:10447	6237
HGNC:10448	6238
HGNC:10449	6239
HGNC:10450	10692
HGNC:10451	6240
HGNC:10452	6241
HGNC:10454	6244
HGNC:10455	100420159
HGNC:10456	6246
HGNC:10457	6247
HGNC:10458	6248
HGNC:1046	8553
HGNC:10461	6249
HGNC:10462	
HGNC:10464	6251
HGNC:10466	6242
HGNC:10467	6252
HGNC:10468	6253
HGNC:10469	10313
HGNC:1047	635
HGNC:10471	861
HGNC:10472	860
HGNC:10473	864
HGNC:10474	8607
HGNC:10475	10856
HGNC:10477	6256
HGNC:10478	6257
HGNC:10479	6258
HGNC:1048	23743
HGNC:10480	23429
HGNC:10481	6259
HGNC:10482	6260
HGNC:10483	6261
HGNC:10484	6262
HGNC:10485	6263
HGNC:10486	6271
HGNC:10487	6281
HGNC:10488	6282
HGNC:10489	6283
HGNC:1049	636
HGNC:10490	6284
HGNC:10491	729659
HGNC:10492	6273
HGNC:10493	6274
HGNC:10494	6275
HGNC:10495	6276
HGNC:10496	6277
HGNC:10497	6278
HGNC:10498	6279
HGNC:10499	6280
HGNC:105	26504
HGNC:1050	637
HGNC:10500	6285
HGNC:10504	6286
HGNC:10505	6267
HGNC:10506	6268
HGNC:10509	6264
HGNC:1051	638
HGNC:10512	
HGNC:10513	6288
HGNC:10514	6289
HGNC:10515	6290
HGNC:10516	6291
HGNC:10518	6293
HGNC:10519	26278
HGNC:1052	274
HGNC:10520	6294
HGNC:10521	6295
HGNC:10522	6296
HGNC:10523	6298
HGNC:10524	6299
HGNC:10525	139163
HGNC:10526	6297
HGNC:10527	27164
HGNC:10528	64092
HGNC:1053	51411
HGNC:10530	10284
HGNC:10532	8819
HGNC:10534	56681
HGNC:10535	51128
HGNC:10536	1757
HGNC:10537	6301
HGNC:10538	9092
HGNC:10539	6302
HGNC:1054	55909
HGNC:10540	6303
HGNC:10541	6304
HGNC:10542	6305
HGNC:10545	6307
HGNC:10546	6308
HGNC:10547	6309
HGNC:10548	6310
HGNC:10549	25814
HGNC:1055	10904
HGNC:10555	6311
HGNC:10560	6314
HGNC:10561	6315
HGNC:10563	9522
HGNC:10564	10066
HGNC:10565	10067
HGNC:10566	51282
HGNC:10567	54581
HGNC:10569	6317
HGNC:1057	640
HGNC:10570	6318
HGNC:10571	6319
HGNC:10572	645313
HGNC:10573	8796
HGNC:10575	7857
HGNC:10576	6320
HGNC:10577	11075
HGNC:1058	641
HGNC:10580	6322
HGNC:10581	10389
HGNC:10582	6336
HGNC:10583	11280
HGNC:10585	6323
HGNC:10586	6324
HGNC:10588	6326
HGNC:10589	6327
HGNC:1059	642
HGNC:10590	6328
HGNC:10591	6329
HGNC:10592	6330
HGNC:10593	6331
HGNC:10594	6332
HGNC:10596	6334
HGNC:10597	6335
HGNC:10599	
HGNC:1060	643
HGNC:10600	
HGNC:10601	6339
HGNC:10602	6340
HGNC:10603	6341
HGNC:10604	9997
HGNC:10606	6342
HGNC:10607	6343
HGNC:10608	6344
HGNC:10609	6346
HGNC:10610	6356
HGNC:10611	6357
HGNC:10612	6358
HGNC:10613	6359
HGNC:10614	6360
HGNC:10615	6361
HGNC:10616	6362
HGNC:10617	6363
HGNC:10618	6347
HGNC:10619	6364
HGNC:1062	644
HGNC:10620	6366
HGNC:10621	6367
HGNC:10622	6368
HGNC:10623	6369
HGNC:10624	6370
HGNC:10625	10344
HGNC:10626	10850
HGNC:10627	6348
HGNC:10628	6349
HGNC:10629	390788
HGNC:1063	645
HGNC:10630	6351
HGNC:10631	388372
HGNC:10632	6352
HGNC:10634	6354
