Species,LE
Calanoid.copepods,0.054
Rotifers,0.066
Nanophytoplankton,0.059
Picophytoplankton,0.057
Ostracods,0.053
Harpacticoids,0.051
Bacteria,0.056
Total.dissolved.inorganic.nitrogen,0.059
Soluble.reactive.phosphorus,0.063
