Appendix S1 Time series of the long-term experiment,,,,,,,,,,,,,,,,,,,,,,,
Worksheet 3 Transformed time series used in our Nature 2008 paper (species abundances and nutrients),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Note for those who wish to make use of these freely available data in their publications or presentations: ,,,,,,,,,,,,,,,,,,,,,,,
please cite the Ecology Letters publication of Beninca et al. as source of the data,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Day Number,Cyclopoids,Calanoids ,Rotifers,Protozoa,Nanophytoplankton,Picophytoplankton,Filamentous diatoms,Ostracods,Harpacticoids,Bacteria,Total Dissolved Inorganic Nitrogen,Soluble reactive phosphorus,,,,,,,,,,,
450.55,0.051367888,-0.714120207,1.799238239,,-0.895489796,-0.110705779,,,,0.128209178,0.605009131,0.020712189,,,,,,,,,,,
453.9,0.355508011,-0.816835131,1.485550523,,-0.577741865,-0.544960968,,,,0.533457578,0.908777113,-0.094625068,,,,,,,,,,,
457.25,0.574686483,-0.675650466,0.724399379,,-0.600351174,-0.537490001,,,,1.342426569,0.35940469,0.077471247,,,,,,,,,,,
460.6,1.29316513,-0.653092157,0.098430087,,0.370377491,-0.168652367,,,,-0.248034005,-0.013034548,0.162114939,,,,,,,,,,,
463.95,2.186972128,0.091847847,-0.29216978,,0.710709801,-0.272423629,,,,0.895665973,0.561999101,-0.320561359,,,,,,,,,,,
467.3,1.544714985,0.169453424,-0.553054684,,2.001868574,-0.388091238,,,,0.573394068,0.879175887,-0.803362457,,,,,,,,,,,
470.65,1.41937263,0.840112073,-0.546078204,,2.507841392,-0.887390916,,,,-2.819008301,0.86119047,-0.609286177,,,,,,,,,,,
474,1.396942355,1.138832087,-0.527943559,,2.831191996,-1.205727341,,,,0.988233551,0.844915778,-0.451779769,,,,,,,,,,,
477.35,1.32550788,1.576857749,-0.505353585,,2.560760337,-1.205727341,,,,1.787288964,0.900888489,-0.912537364,,,,,,,,,,,
480.7,0.690074126,1.667405807,-0.519622525,,0.713220807,-1.205727341,,,,1.500359833,0.962082886,-1.916310508,,,,,,,,,,,
484.05,0.506909713,1.626103395,-0.58366139,,-0.22309137,-1.205727341,,,,1.365254999,0.75521019,-1.369909323,,,,,,,,,,,
487.4,0.920737345,1.712875336,-0.56585272,,0.231692706,-1.205727341,,,,1.279582518,0.309773559,-0.877486593,,,,,,,,,,,
490.75,0.902741592,1.429507759,-0.356075881,,0.5603517,-1.205727341,,,,1.370786955,-0.009621126,-0.880261504,,,,,,,,,,,
494.1,0.639881561,0.847298713,-0.50495624,,-0.303113077,-1.205727341,,,,1.00763396,-0.274152811,-0.92904428,,,,,,,,,,,
497.45,0.305144027,0.633985262,-0.683328038,,0.6336625,-0.278342812,,,,0.364892249,-0.349558657,-0.815484065,,,,,,,,,,,
500.8,0.369228447,0.571858899,-0.741970742,,0.789148811,0.006957698,,,,0.362340713,-0.387840761,-0.535559475,,,,,,,,,,,
504.15,0.535110857,0.633985262,-0.509767698,,1.119011228,-0.00589922,,,,1.136182859,-0.539061147,-0.295548992,,,,,,,,,,,
507.5,0.516447551,0.649216752,-0.273314175,,1.118481326,-0.279774278,,,,1.49964196,-0.860083262,-0.084226952,,,,,,,,,,,
510.85,0.536698423,0.415114015,-0.249131986,,1.119931449,-0.290259246,,,,1.616060246,-0.879692727,-0.130042153,,,,,,,,,,,
514.2,0.555264523,0.934079337,-0.408050474,,1.126744795,-0.032810672,,,,2.129802592,-0.67006458,-0.557499362,,,,,,,,,,,
517.55,0.591728213,1.400863793,-0.571719946,,1.08521284,-0.585509889,,,,0.685792366,-0.426473962,-0.802401587,,,,,,,,,,,
520.9,-0.002408823,1.228135502,-0.538358048,,0.826446528,-0.619787662,,,,0.66686914,-0.125790395,-0.892647255,,,,,,,,,,,
524.25,0.618132903,1.315650019,-0.469765333,,1.064567208,-0.821075073,,,,0.036835404,0.021075717,-0.963856002,,,,,,,,,,,
527.6,0.164858923,1.227294442,-0.571719946,,0.650011856,-0.758724383,,,,-0.22047265,0.094926635,-1.038991283,,,,,,,,,,,
530.95,-0.191140776,1.193942454,-0.577727697,,0.443906482,-0.715112399,,,,-0.550220954,0.123178239,-1.070612288,,,,,,,,,,,
534.3,0.117989804,0.887133617,-0.6164845,,0.718620014,-0.689145729,,,,-0.693212665,0.088643535,-1.017529486,,,,,,,,,,,
537.65,-0.601841639,0.411829722,-0.577387288,,0.7096555,-0.989480488,,,,-0.794863194,0.013601095,-0.912399881,,,,,,,,,,,
541,-0.660504393,0.290042984,-0.671003058,,0.599567694,-1.024852949,,,,-0.462441306,-0.062642887,-0.799122544,,,,,,,,,,,
544.35,-0.577948399,0.377412921,-0.639504477,,1.402667056,-0.85624638,,,,-0.75066223,-0.094857341,-0.709406894,,,,,,,,,,,
547.7,-0.485279348,0.527400998,-0.749800083,,1.63900686,-0.761683972,,,,-0.579338917,-0.071083066,-0.626275516,,,,,,,,,,,
551.05,-0.016593938,0.718810872,-0.511848068,,1.812703465,-0.567171527,,,,-0.39231003,-0.051700202,-0.579604789,,,,,,,,,,,
554.4,0.213788326,0.561428253,-0.434805352,,2.761488358,-0.611683449,,,,0.394733337,-0.146083458,-1.017323524,,,,,,,,,,,
557.75,0.909038656,1.240812696,-0.213787478,,1.827150838,-0.507832224,,,,1.553439611,-0.253889181,-1.951995997,,,,,,,,,,,
561.1,0.927779512,1.618890932,-0.178126536,,1.138964672,-0.445660587,,,,1.167618093,0.141402215,-1.45900327,,,,,,,,,,,
564.45,0.607110745,2.009585707,-0.193204236,,0.329960684,-0.326723752,,,,0.12601655,0.57059492,-0.850681722,,,,,,,,,,,
567.8,0.76613027,1.853847529,-0.077883074,,0.144835378,0.028002195,,,,-0.209450913,0.474655755,-0.377477,,,,,,,,,,,
571.15,-0.072717049,0.441988055,-0.263727305,,0.055300417,-0.123834821,,,,-0.637568971,0.117749442,0.087600196,,,,,,,,,,,
574.5,0.233747512,0.385281908,-0.483949346,,1.642225986,-0.36548551,,,,-1.236987239,-0.430663184,0.438212003,,,,,,,,,,,
577.85,0.928359016,0.32392458,-0.672062531,,2.16893519,-0.598450994,,,,-0.567014946,-1.023867475,0.644173221,,,,,,,,,,,
581.2,0.715483779,0.292963821,-0.615339824,,2.847422234,-0.627031461,,,,-0.715158285,-1.055792451,0.613908929,,,,,,,,,,,
584.55,1.084635278,1.076368437,-0.401460246,,3.49107416,-0.716124582,,,,-0.888979155,-0.221409357,-0.188037623,,,,,,,,,,,
587.9,0.871595938,2.096355651,-0.336316618,,2.348203615,-0.836154814,,,,-0.044182192,0.020313221,-0.846123713,,,,,,,,,,,
591.25,-1.580662406,2.601028831,-0.325671844,,0.630721567,-0.796874781,,,,-1.328080572,-0.292737602,-0.893641229,,,,,,,,,,,
594.6,-1.580662406,2.587345428,-0.452936139,,0.006831972,-0.690953307,,,,-0.926062932,-0.725333842,-0.923876745,,,,,,,,,,,
597.95,-1.580662406,1.359636087,-0.511738128,,-0.334225808,-0.721410312,,,,-1.327438509,-0.756456062,-0.97316096,,,,,,,,,,,
601.3,-1.580662406,-0.035836428,-0.14023376,,-0.334157856,-0.459718259,,,,-1.209955787,-0.571304091,-1.023594001,,,,,,,,,,,
604.65,-1.112325146,-0.768640371,-0.633817921,,-0.183915138,-0.296101029,,,,-1.484267654,-0.20815322,-0.953101105,,,,,,,,,,,
608,-0.59840086,-0.840221055,-0.673281649,,0.666045712,-0.350979096,,,,-1.489447229,0.33363698,-0.753439031,,,,,,,,,,,
611.35,-1.333876332,-1.093826249,-0.768188775,,0.680433674,-0.483816426,,,,-1.658842812,0.751913942,-0.570607505,,,,,,,,,,,
614.7,-0.769589646,-1.433933988,-0.552312684,,-0.102987846,-0.671347041,,,,0.319548852,0.930807967,-0.48697084,,,,,,,,,,,
618.05,0.470541564,-1.489123352,-0.633981687,,0.113006324,-0.768237178,,,,-1.8121928,0.719503616,-0.722784975,,,,,,,,,,,
621.4,-0.356648299,-0.383411317,-0.769167303,,2.102024755,-0.593209107,,,,-1.717426669,0.374963955,-1.177193982,,,,,,,,,,,
624.75,0.731289666,-1.135782573,-0.640760304,,2.162825553,-0.587481094,,,,-2.046314715,0.477615473,-0.983606316,,,,,,,,,,,
628.1,0.512145896,-1.278550225,-0.555942774,,1.77946179,-0.585549931,,,,-1.944614362,0.672211186,-0.57420126,,,,,,,,,,,
631.45,0.923843218,-0.782363817,-0.664359213,,0.774794458,-0.789312786,,,,-2.307085705,0.238699642,-0.242362726,,,,,,,,,,,
634.8,0.814103452,-1.111516413,-0.745178438,,0.711612224,-0.829290061,,,,-1.829860081,-0.978298806,-0.030636653,,,,,,,,,,,
638.15,2.689660987,-1.817796667,-1.237553612,,0.546032852,-0.776880185,,,,-1.092212837,-0.400381181,-0.07303193,,,,,,,,,,,
641.5,1.985309429,-1.84758385,-1.237553612,,0.68693827,-0.696180911,,,,-0.843005088,0.143997888,-0.184365229,,,,,,,,,,,
644.85,1.051989193,-1.89482718,-1.237553612,,0.63411936,-0.725834463,,,,-0.573050468,-0.113055608,-0.551116864,,,,,,,,,,,
