Appendix S1 Time series of the long-term experiment,,,,,,,,
Worksheet 2 Original time series of the nutrient concentrations measured in the experiment,,,,,,,,
,,,,,,,,
Note for those who wish to make use of these freely available data in their publications or presentations: ,,,,,,,,
please cite the Ecology Letters publication of Beninca et al. as source of the data,,,,,,,,
,,,,,,,,
,,,,,,,,
Date,Day number,NO2,NO3,NH4,Total dissolved inorganic nitrogen,Soluble reactive phosphorus,,
26/10/92,838,0.45,0.62,10.05,11.12,0.22,,
02/11/92,845,0.59,0.07,15.95,16.61,0.32,,
16/11/92,859,0.69,0.87,11.25,12.81,0.15,,
23/11/92,866,0.68,15.18,14.12,29.98,0.21,,
30/11/92,873,0.41,2.6,2.75,5.76,1.98,,
07/12/92,880,0.5,1.26,2.95,4.71,1.43,,
14/12/92,887,0.42,1.79,2.75,4.96,1.26,,
21/12/92,894,0.37,1.84,3.5,5.71,1,,
28/12/92,901,0.22,1.01,4.875,6.105,0.9,,
06/01/93,910,0.73,1.01,6.25,7.99,2.31,,
11/01/93,915,0.35,0.57,1.75,2.67,0.78,,
18/01/93,922,0.58,2.41,2.05,5.04,0.74,,
25/01/93,929,0.37,0.73,0.75,1.85,0.34,,
01/02/93,936,0.32,0.37,1.15,1.84,0.33,,
08/02/93,943,0.35,1.03,4.25,5.63,0.88,,
16/02/93,951,0.46,0.66,5.9,7.02,1,,
22/02/93,957,0.42,1.08,3.95,5.45,1.01,,
01/03/93,964,0.41,1.37,3.55,5.33,1.13,,
09/03/93,972,0.98,1.93,6.6,9.51,1.23,,
15/03/93,978,0.64,3.05,6.1,9.79,1.34,,
22/03/93,985,1.55,1.9,6.15,9.6,3.3,,
29/03/93,992,0.24,4.62,6.85,11.71,2.72,,
05/04/93,999,0.84,2.23,41.4,44.47,14.66,,
14/04/93,1008,0.72,2.64,4.3,7.66,3.99,,
19/04/93,1013,0.48,0,3.15,3.63,4.48,,
26/04/93,1020,0.51,1.72,3.3,5.53,7.04,,
03/05/93,1027,0.5,4.7,6.25,11.45,3.09,,
10/05/93,1034,,,4.8,,1.56,,
27/05/93,1051,0.49,4.69,1,6.18,1.03,,
01/06/93,1056,0.27,2.05,2.75,5.07,0.45,,
07/06/93,1062,0.29,2.3,1.75,4.34,0.57,,
17/06/93,1072,0.21,1.45,6.5,8.16,0.87,,
21/06/93,1076,0.22,1.26,9.1,10.58,1.22,,
28/06/93,1083,0.25,7.56,5.55,13.36,0.67,,
05/07/93,1090,0.3,1.76,10.9,12.96,0.81,,
13/07/93,1098,0.29,1.87,2.95,5.11,0.48,,
19/07/93,1104,0.16,2.88,4.25,7.29,0.69,,
26/07/93,1111,0.34,1.64,3.9,5.88,1.09,,
02/08/93,1118,0.34,0.84,4.4,5.58,0.3,,
09/08/93,1125,0.18,1.56,,,0.84,,
16/08/93,1132,0.2,0.02,,,0.4,,
23/08/93,1139,1.5,0,,,0.94,,
30/08/93,1146,1.68,0,,,1.88,,
06/09/93,1153,0.29,0,14.05,14.34,5.09,,
13/09/93,1160,0.08,0.47,5.1,5.65,3.73,,
20/09/93,1167,0.26,0.56,6.1,6.92,4.76,,
27/09/93,1174,1.91,0.13,3.25,5.29,4.33,,
04/10/93,1181,0.66,1.21,15.5,17.37,4.06,,
11/10/93,1188,0.26,0.86,6.2,7.32,4.21,,
01/11/93,1209,0.7,3.01,6.5,10.21,3.22,,
15/11/93,1223,0.67,1.3,2.4,4.37,2.66,,
22/11/93,1230,0.42,2.08,3.85,6.35,2.88,,
29/11/93,1237,0.81,2.87,6.75,10.43,1.91,,
06/12/93,1244,0.59,2.6,8.15,11.34,1.54,,
13/12/93,1251,0.41,0.28,5.3,5.99,1.27,,
20/12/93,1258,0.27,1.44,1.35,3.06,1.36,,
03/01/94,1272,0.47,1.18,4.55,6.2,1.93,,
10/01/94,1279,0.23,0.26,2.75,3.24,1.4,,
17/01/94,1286,0.32,0.42,5.15,5.89,0.81,,
24/01/94,1293,0.53,1.77,4.85,7.15,1.64,,
31/01/94,1300,0.17,3.51,0.9,4.58,0.4,,
07/02/94,1307,0.41,1.33,3.15,4.89,0.66,,
14/02/94,1314,0.27,2.52,7.05,9.84,0.78,,
21/02/94,1321,0.34,2.79,2,5.13,5.54,,
28/02/94,1328,0.62,2.33,6.7,9.65,4.18,,
07/03/94,1335,0.49,2.13,4.25,6.87,7.66,,
14/03/94,1342,0.54,3.19,6.2,9.93,8.88,,
21/03/94,1349,0.48,13.3,10.6,24.38,8.3,,
28/03/94,1356,0.46,3.54,2.4,6.4,6.25,,
05/04/94,1364,0.83,0.56,4.9,6.29,5.24,,
11/04/94,1370,0.53,3.01,4.6,8.14,3.7,,
18/04/94,1377,0.56,7.82,4.8,13.18,3.7,,
25/04/94,1384,0.57,1.44,3.5,5.51,5.61,,
02/05/94,1391,0.18,1.09,2.7,3.97,1.27,,
09/05/94,1398,0.2,2.21,0.2,2.61,0.61,,
16/05/94,1405,0.52,1.46,8.1,10.08,0.84,,
