,Bact,Harp,Ostr,N,P,Pico,Nano,Roti,Prot,Cala
Bact,,0.03,-0.24,0.05,0.19,0.03,-0.17,0.3,-0.17,0.22
Harp,,,0.17,-0.12,0.09,-0.04,-0.03,0.02,0.14,-0.04
Ostr,,,,-0.16,-0.06,-0.04,0.01,-0.03,0.19,-0.04
N,,,,,0.08,0,-0.02,-0.04,0.02,0.04
P,,,,,,-0.04,0.03,0.1,-0.11,-0.09
Pico,,,,,,,-0.17,-0.03,-0.22,0.26
Nano,,,,,,,,-0.19,0.15,-0.14
Roti,,,,,,,,,-0.02,-0.1
Prot,,,,,,,,,,NA
Cala,,,,,,,,,,
